uniprot	FLYBASE	Alias
P13468	FBgn0000810	CG3218;Dmel\CG3218;EG:30B8.5;K-10;K10;f(s)K10;fs(1)M9;fs(1)k10;k10
P13469	FBgn0002780	0952/14;CG2050;Dmel\CG2050;Mod;ms(3)100EF
O77410	FBgn0025582	BcDNA.GM01233;BcDNA:GM01233;CG9677;DINT6;Dmel\CG9677;eIF-3p48/INT-6;eIF3-S6;eIF3-p48/INT6;eIF3e;l(3)10547;l(3)j9E8
Q9VFC9	FBgn0038292	Dmel\CG3987;anon-WO0140519.215
Q9VFC8	FBgn0266064	CG6904;CG6940;Dmel\CG6904;GS;anon-WO0118547.108;dGS
Q9VX34	FBgn0030855	DmRH14;Dmel\CG5800;cg5800
Q9VFC4	FBgn0038296	Dmel\CG6752
Q9VFC7	FBgn0038294	BcDNA:GH23305;CG6803;DmMf;Dmel\CG6803;Zeelin1;z1
Q9VFC6	FBgn0038294	BcDNA:GH23305;CG6803;DmMf;Dmel\CG6803;Zeelin1;z1
Q9VFC1	FBgn0038299	CG6687;Dmel\CG6687
Q9VS50	FBgn0035766	CG8598;Deco;Dmel\CG8598;ECO;Eco1;deco
Q9VFC2	FBgn0028984	CG18525;Dmel\CG18525;Sp5;Spn5;sp5;spn5
Q9W308	FBgn0030159	BcDNA:GH05731;Dmel\CG9689;lincRNA.S9020
Q9VS51	FBgn0035767	Dmel\CG8596;cln7
Q9V3J9	FBgn0028862	BG:DS07295.2;CG15267;Dmel\CG15267;anon-WO0140519.126
Q94529	FBgn0019982	19864674;CG15441;Dmel\CG15441;GS1l;gs1-like
Q9BLX1	FBgn0030964	CG7103;DmVEGF-1;Dmel\CG7103;EP1624;PVF;PVF1;PVFs;Pvf;VEGF;VEGF2-B;Vegf17E;Vegf17e-a;Vegf17e-b;l(1)G0146;pvf1;vegf1
Q94527	FBgn0014018	CG11992;Dmel\CG11992;NF-kappaB;NFkappaB;REL;RELI;Rel-p110;Rel/NF-kappaB;RelA;ird;ird4;l(3)neo36;rel;relish
Q8T9L5	FBgn0038167	CG9374;DmLKB1;Dmel\CG9374;LKB1;LKB1/PEUTZ JEGHERS KINASE;PAR-4;PAR4;STK11;anon-EST:Posey135;dLKB1;dlkb1;lkb1;par-4
P29742	FBgn0000319	CG9012;CHC;CLH;Cla;Clh;D-Chc;Dmel\CG9012;chc;chc1;dCHC;l(1)13Fb;l(1)G0438;l(1)VI
Q94524	FBgn0024432	CG12363;Dmel\CG12363;TcTex-1;Tctex;Tctex-1;Tctex1;bs35g12.y1;dlc90F;dtctex-1;l(3)04091;tctex;tctex-1
Q94523	FBgn0261439	CG17246;DHSA;Dmel\CG17246;SDH;Scs-fp;Sdh;Sdh A;Sdha;scs-fp;sdh
Q94522	FBgn0004888	CG1065;Dmel\CG1065;Scs-alpha;scsalpha
P29746	FBgn0001090	Bnb;CG7088;Dmel\CG7088;GAP43;Gap43
P29747	FBgn0004396	BBF-2;BBF2_DROME;BOX B Binding Factor-2;Bbbf2;BcDNA:SD05937;CG7450;CRE-BP;CREB;CREB-A;CREB-a;CREBA;Creb;Creb A;Creb-A;DM4;Dmel\CG7450;creb;crebA;dCREB-A;dCREBA;dCreb-A;dCrebA;l(3)03576
Q9VYN1	FBgn0259680	CG10524;CG11245;CG42349;Dmel\CG42349;Dmel_CG10524;Dmel_CG11245;PKCd;PKCdelta
M9PBP2	FBgn0031374	Dmel\CG7337;Q0E8U7_DROME
Q9VYN3	FBgn0030386	Dmel\CG2574;bs21b01.y1
Q9W1Z9	FBgn0034776	Dmel\CG13527;SPH182
Q9VYN5	FBgn0030384	Dmel\CG2577
Q9VYN4	FBgn0030385	CG15732;CT35969;DmelIR11a;Dmel\CG15732;IR11a;Q9VYN4_DROME
Q9U8R4	FBgn0263864	APAF-1;APAF1;ARK;Apaf;Apaf-1;Apaf1;Ark;CG6829;D-Apaf-1;DARK;Dapaf-1;Dapaf-1/HAC-1;Dark/Apaf-I;Dark/Dapaf-1/HAC1;Dark/Hac-1/dApaf-1;Dark/Hac-1/dApaf1;Dmel\CG6829;Hac-1;Hac-1/Dark;Hac1;T1;anon-53Fa;apaf-1;apaf1;arc;ark;dAPAF-1;dApaf-1;dApaf-1/DARK/HAC-1;dApaf1;dArk;dapaf;dapaf-1;dapaf-1L;dapaf-1S;dark;dark/dapaf-1/hac-1;dark/hac-1/dapaf-1;hac-1;hac1;l(2)SH0173
Q9W1Z2	FBgn0034782	Dmel\CG12490
Q9W1Z3	FBgn0050265	CG11682;Dmel\CG30265
Q9W1Z0	FBgn0034784	Dmel\CG9826
Q9VS55	FBgn0035769	CG8591;Dmel\CG8591;dCTCF
Q9W1Z6	FBgn0086408	BcDNA:GM08694;CG3622;Dmel\CG3622;fs(2)A16
O16868	FBgn0001084	CG13396;Dmel\CG13396
Q9W1Z4	FBgn0259179	CG13528;CG13529;CG30264;CG30266;Dmel\CG42284;Dmel_CG30264;Dmel_CG30266
B6IDW7	FBgn0000047	Act(88F);Act88-F;Act88f;Actin;CG5178;Dmel\CG5178;E;Ifm(3)7;act 88F;act88F;actin;rsd
Q8INU9	FBgn0051680	BcDNA:AT19802;Dmel\CG31680
Q86LG3	FBgn0030844	CG8527;Dmel\CG8527;PPK23;Ppk23
Q86LG1	FBgn0030795	CG4805;Dmel\CG4805;PPK28
Q7JWP9	FBgn0034717	5819;CT18212;Dmel\CG5819;tartan/capricious-like
Q86LG7	FBgn0065108	CG34059;CG4110;Dmel\CG34059;PPK16
Q86LG9	FBgn0053508	CG14398;CG33508;Dmel\CG33508;PPK13
A1Z9R4	FBgn0261613	CG17388;CG17389;CG17390;CG42702;Dm_2R:42259;Dmel\CG42702;Dmel_CG17388;Dmel_CG17389;Dmel_CG17390;dmOAZ;oaz
Q9VEV2	FBgn0038429	BcDNA:SD10961;Dmel\CG14882
Q960E9	FBgn0052452	BcDNA:SD04526;Dmel\CG32452
Q9VF45	FBgn0038354	Dmel\CG5404
Q9VF46	FBgn0038353	Dmel\CG5399
P26802	FBgn0004556	CG9680;DBP73D;DmRH7;Dmel\CG9680
Q9VF40	FBgn0038359	Dmel\CG5614
Q9VF41	FBgn0038358	Dmel\CG4525;TTC26
Q7K3Y9	FBgn0033710	CT39321;Dmel\CG17739;anon-WO0153538.35
Q9VF43	FBgn0038356	Dmel\CG12784
Q7K0T7	FBgn0263102	BTB-V;BtbV;CG2368;Dmel\CG2368;PSQ;Piq;Psq;eyeful;pip;psk;psq-1;rum;zep
Q9W2Z3	FBgn0263132	CG15313;CG15314;CG2989;CG43374;CT5624;Dmel\CG43374;Dmel_CG15313;Dmel_CG15314;Dmel_CG2989
Q07152	FBgn0003204	CG11485;CG1799;Dmel\CG1799;EP(X)1093;IMPDH;IMPdH;LD02673;LD06825;Ras;l(1)9Eb;l(1)G0002;l(1)G0056;l(1)G0098;l(1)G0127;l(1)G0238;l(1)G0351;l(1)G0380;l(1)G0388;l(1)G0391;l(1)G0436;l(1)G0482;ras-l;raspberry/impd
B7Z0G8	FBgn0035099	BEST:LD22345;Dmel\CG6845
B9ZW35	FBgn0033649	CG13194;DFGF8-2;DmPyr;Dmel\CG13194;FGF8-like2;Pyr;fgf8-like
E2QCG7	FBgn0034237	CG4878;Dmel\CG4878;cg4878;eIF3 S9;eIF3-s9;eIF3b
A8JRA4	FBgn0039261	Dmel\CG6422
Q9VSW4	FBgn0035980	Dmel\CG4447
Q9VSW5	FBgn0004379	0427/05;CG10923;DmKlp67A;Dmel\CG10923;KIF 18A;KIF18A/B;KLP3;KLP67A;KRP67A;Kin-8;Klp3;Klp67;anon-WO0140519.224;anon-WO0172774.120;klp67A;l(3)S042705
Q9VSW7	FBgn0035981	Dmel\CG4452;anon-WO0172774.118;cg4452
Q9VSW1	FBgn0035978	CG4347;Dmel\CG4347;UDPGPP;UGPase
Q9VSW2	FBgn0035978	CG4347;Dmel\CG4347;UDPGPP;UGPase
Q9W4F8	FBgn0029736	Dmel\CG4041
Q4V6L4	FBgn0033999	CT22063;Dmel\CG8093
Q9VD46	FBgn0259736	CG33334;CG5740;Dmel\CG42390;Dmel_CG33334;Dmel_CG5740
Q4V6L1	FBgn0250846	CG15180;DmeGb2;Dmel\CG15180;anon-SAGE:Wang-121
Q4V6L0	FBgn0031976	Dmel\CG7367;TL
Q4V6L8	FBgn0036880	CG9295;DmelCpr76Bc;Dmel\CG9295
Q8IQ91	FBgn0011817	CG7892;Dmel\CG7892;NEMO;NEMO/NLK;NLK;Nemo;Nlk;Nmo;ORE-6;adk;adk1;anon-EST:Gibbs3;anon-EST:Liang-2.43;anon-WO0118547.332;anon-WO0140519.256;anon-WO0172774.138;clone 2.43
Q8IQ92	FBgn0035829	BcDNA:GM01628;CG8044;Dmel\CG8044;Hip;hip
A1ZA69	FBgn0265045	143736_at;A(225);BEST:GH22543;BcDNA:RH74685;CG15699;CG18255;CG44162;CG8304;CT41348;Dmel\CG44162;Dmel_CG15699;Dmel_CG18255;MLCK;MLCK-1;MLCK-2;MLCK-3;Mlc-k;Mlck;Strn-MLCK;Strn-mlck;Strn/Mlck;mlck;strn-mlck
Q8IQ95	FBgn0003041	0083/20;0293/09;0542/03;CG8114;Dmel\CG8114;ECT2;Ect-2;GEF;PBL;Pbl;anon-WO0172774.22;anon-WO0172774.25;l(3)09645
A8DYD2	FBgn0000289	CG8367;Dmel\CG8367;l(2)07659;l(2)k11504;mig
A8DYD3	FBgn0000289	CG8367;Dmel\CG8367;l(2)07659;l(2)k11504;mig
Q8IQ98	FBgn0016694	CG17888;DM1;DM32;Dmel\CG17888;PDP;PDP1;PDP1epsilon;Pdp-1;Pdp1 epsilon;Pdp1e;Pdp1epsilon;anon-WO0140519.206;mel_pdp1;pdp;pdp1;pdp1epsilon
Q8IQ99	FBgn0016694	CG17888;DM1;DM32;Dmel\CG17888;PDP;PDP1;PDP1epsilon;Pdp-1;Pdp1 epsilon;Pdp1e;Pdp1epsilon;anon-WO0140519.206;mel_pdp1;pdp;pdp1;pdp1epsilon
Q9VXJ8	FBgn0030725	Dmel\CG8958
B9EQV3	FBgn0035165	Dmel\CG13887
P91931	FBgn0019932	CG5029;Dmel\CG5029;l(2)31Dc;l(2)31Dd;l(2)31De
Q9VGH5	FBgn0259139	110/46;CG6946;Dmel\CG6946;Glo;anon-WO0118547.328;cg6946;l(3)S011046;l(3)S11046;p67;p67-K
Q9I7L1	FBgn0042104	Dmel\CG18747;Q9I7L1_DROME
P91938	FBgn0020653	2151;CG2151;DTR;Dm-TrxR;DmTR;DmTrx;DmTrxR;DmTrxR-1;Dmel\CG2151;GR;Gr;TH;TRR;Trx;TrxR;TrxR-1;Trxr1;anon-WO03040301.185;anon-WO03040301.187;dTrxR;dmtrxr-1;gr;l(1)G0154;l(1)G0379;l(1)G0477;l(1)G0481;trxr-1
P91939	FBgn0020641	BcDNA:LP05231;CG6955;DCP1;DMCLP65d;DmelLcp65Ad;Dmel\CG6955;Lcp-d
A1Z9Z1	FBgn0034002	Dmel\CG8079
Q9VUE1	FBgn0036419	Dmel\CG13482
Q8T4G7	FBgn0033498	BcDNA:AT13439;Dmel\CG12209
Q9VUE4	FBgn0036422	Dmel\CG3868
Q9VUE5	FBgn0003459	84;CG3836;Dmel\CG3836;Stwl;fs(3)02024;snw
Q9W458	FBgn0029822	Dmel\CG12236
Q9VUE7	FBgn0087007	BBG;C96;CG42230;CG9587;CG9598;Dmel\CG42230;Dmel_CG9587;Dmel_CG9598
Q9VUE8	FBgn0087007	BBG;C96;CG42230;CG9587;CG9598;Dmel\CG42230;Dmel_CG9587;Dmel_CG9598
Q9W457	FBgn0029823	144561_at;Dmel\CG3011;Shmt2;anon-WO03040301.100
M9NGI4	FBgn0029589	Dmel\CG14810
Q9W455	FBgn0029825	Dmel\CG12728;XRCC4
Q9W453	FBgn0029827	Dmel\CG6048;SP108
Q9VD44	FBgn0038934	CG5732;Dm1;DmCG5732;DmGLD2;Dmel\CG5732
M9NGI1	FBgn0030747	DmCG4301;Dmel\CG4301
Q9V3Z7	FBgn0028892	BG:DS03023.2;Dmel\CG4161
Q9V3Z6	FBgn0000317	53D10S;BG:DS00929.11;CG7595;D;D2;DM7a;DMyoVIIa;Dm 35B;DmVIIA;DmVIIa;Dmel\CG7595;Dro35B;ESTS:53D10S;Mhc35BC;Myo7A;MyoVIIA;anon-35Bb;br27;ck/MyoVIIA;l(1)35Ca;l(2)07130;l(2)35Ca;l(2)br27;l35Ca;myoVIIA;stc;stch
Q9V3Z4	FBgn0028690	CG1100;Dmel\CG1100;p55;rpn5
A0A0B4KEZ2	FBgn0005636	CG3385;Dmel\CG3385;Nvy
Q9VBG8	FBgn0039415	Dmel\CG6142
Q9V3Z1	FBgn0028978	CG5408;Dmel\CG5408;Trbl;trb
Q9VBG7	FBgn0051086	CG14558;Dmel\CG31086
Q9VBG6	FBgn0039417	Dmel\CG6073
Q9VBG1	FBgn0039420	Dmel\CG6154
Q9V3Z9	FBgn0028544	BG:DS00180.3;Dmel\CG16884;vajk-3
A1ZAA9	FBgn0034081	ATPW;CG33038;Dmel\CG10731
A1ZAA5	FBgn0001124	BEST:GH07823;CG8430;Dmel\CG8430;FBgn 1124;GOT-1;Got-1;Got2
Q9NHN2	FBgn0011205	CG5725;Dmel\CG5725;Fbl;PANK;dPANK;dPANK/Fbl;dPanK
A0A0B4KEX6	FBgn0028371	AAF46896;CG11605;CG13525;CG30092;CG3550;Dmel\CG30092;Jbug
Q9VY02	FBgn0030596	Dm GMCgamma1;Dmel\CG12398
Q04688	FBgn0004510	CG6338;D-Elg;D-elg;DELG;Delg;Dmel\CG6338;Elg;Ets;d-elg;delg;elg;tne;tny
Q9VPU1	FBgn0010583	CG3727;DOCK;Dm0447;Dmel\CG3727;Dock;Nck;dck;doc;l(2)04723
A1Z951	FBgn0261545	BcDNA:SD15892;CG12488;CG13486;CG18356;Dmel\CG42663;Dmel_CG12488;Dmel_CG18356
Q9VPU3	FBgn0020304	CG3365;Dmel\CG3365
Q9VPU5	FBgn0031288	BcDNA:AT06839;Dmel\CG13949
Q9VPU4	FBgn0031287	Dmel\CG4291
Q9VPU7	FBgn0029095	CG4276;Dmel\CG4276;EPS8L3
Q9VPU6	FBgn0031289	Dmel\CG13950
Q9VPU9	FBgn0053526	CG31657;CG33526;CG4124;Dmel\CG33526;PNUTS-RB;PNUTSDm;Pnuts
Q9VPU8	FBgn0020305	CG4258;DBE;Dmel\CG4258;l(2)k05428;l(2)k06708
O76908	FBgn0024977	Dmel\CG2709;EG:95B7.5
Q95T64	FBgn0035975	CG18614;CG32042;CG4361;CG4384;Dmel\CG32042;PGRPLA;pgrp-la
Q8IPH6	FBgn0040299	28B;CG6976;DmVIIB;Dmel\CG6976;Myo28B;VIIb 28B;myo 28B1;myo28B
Q8IPH7	FBgn0040299	28B;CG6976;DmVIIB;Dmel\CG6976;Myo28B;VIIb 28B;myo 28B1;myo28B
Q8IPH4	FBgn0041182	145970_at;145971_at;CG18589;CG7052;Dmel\CG7052;T13;TEP II;TEP2;TEP2mel;Tep 2;Tep II;TepII;dTEPII;tepII
Q8IPH5	FBgn0041182	145970_at;145971_at;CG18589;CG7052;Dmel\CG7052;T13;TEP II;TEP2;TEP2mel;Tep 2;Tep II;TepII;dTEPII;tepII
Q95WY3	FBgn0038964	CG13849;DmNop56;Dmel\CG13849;Dnop56;FBgn0038964;nop56
Q8IPH0	FBgn0031975	CG7356;Dmel\CG7356;TG;dTG
A1Z902	FBgn0033736	Dmel\CG13154
Q8IPH8	FBgn0040299	28B;CG6976;DmVIIB;Dmel\CG6976;Myo28B;VIIb 28B;myo 28B1;myo28B
Q8IPH9	FBgn0264087	CG13792;CG43756;CG6772;Dmel\CG43756;Dmel_CG13792;Dmel_CG6772;slob
Q8IMH2	FBgn0051008	BEST:GH26101;Dmel\CG31008;bs08f11.y1
Q9W025	FBgn0035331	CG8985;DMS-R1;DMSR-1;Dm CG8985;Dmel\CG8985;DmsR;DmsR-1;anon-WO0170980.106;anon-WO0170980.107
O61444	FBgn0024326	142758_at;CG9738;CT27508;D-MKK4;DMKK4;Dmel\CG9738;JNKK2;MAPKK4;MKK4;Mpk4;SEK1/MKK4;dMKK4;dMkk4;hep;mkk4
Q5JZZ4	FBgn0052072	CG32072;CG6261;Dmel\CG32072;elo68alpha
Q8IMH4	FBgn0000416	Apa;BcDNA:GH08312;CG12070;DAPA;Dmel\CG12070;Ov9;P110;Sap-R;Sapr;anon-EST:ParkEST270;sap-r
X2J6N9	FBgn0261509	CG14351;CT33985;Dmel\CG14351;tartan/capricious-like
Q59E11	FBgn0031294	CG11344;CG31795;CG4355;Dmel\CG31795;R-PTPX/1A2;anon-WO0153538.69;ia2
Q9VYB2	FBgn0030499	Dmel\CG11178
Q7KS50	FBgn0039056	CG6742;Cen1ba;Dmel\CG6742;cenB1A
A0A0B4LIT4	FBgn0266579	BcDNA:RE16764;CG12881;CG31057;CG31058;CG34294;CG45110;CG5606;Dmel\CG45110;Dmel_CG31057;Dmel_CG31058;Dmel_CG34294;Tau;d-tau;dTau;dtau
Q9W0R9	FBgn0264707	CG1225;CG13881;CG13882;CG13883;CG42377;CG42378;CG43976;Dmel\CG43976;Dmel_CG1225;Dmel_CG13881;Dmel_CG13882;Dmel_CG13883;Dmel_CG42377;Dmel_CG42378;DrhoGEF3;RhoGEF;rhoGEF3
Q9W2G5	FBgn0034631	CG10496;Dmel\CG10496
A0A0B4JD82	FBgn0265045	143736_at;A(225);BEST:GH22543;BcDNA:RH74685;CG15699;CG18255;CG44162;CG8304;CT41348;Dmel\CG44162;Dmel_CG15699;Dmel_CG18255;MLCK;MLCK-1;MLCK-2;MLCK-3;Mlc-k;Mlck;Strn-MLCK;Strn-mlck;Strn/Mlck;mlck;strn-mlck
Q59E18	FBgn0051660	CG11923;CG11925;CG31660;Dmel\CG31660;anon-WO0170980.181;anon-WO0170980.182;pg
Q9W2G8	FBgn0034629	Acox57Dd;CG9709;D-acox;Dmel\CG9709;acox
Q9W2G9	FBgn0034628	Acox57Dp;CG9707;D-acox;Dmel\CG9707;acox
Q9W0R3	FBgn0261985	CG1228;Dmel\CG1228;MEG1;Meg;PTP-meg;anon-WO0118547.211;dMEG1;dPtpmeg;ptmpeg;ptpmeg;scc
A0A0B4JD87	FBgn0261564	BcDNA:LD42159;BcDNA:RE29641;CG30190;CG30193;CG42678;CG9848;D-reep1;Dmel\CG42678;Dmel_CG30190;Dmel_CG30193;anon-WO0118547.113;reep1
Q9W0R0	FBgn0265574	CG6905;Cdc5Dm;Dmel\CG6905;cdc5;cdc5-like;cef1
Q9VL11	FBgn0032205	Dmel\CG4957
Q9VL10	FBgn0260750	CG18162;CG31873;Dmel\CG31873;Dmulk;anon-31BCb
Q9VL13	FBgn0259482	CG4946;DMob3;Dmel\CG4946;Dmob3;dmob3
Q9VL14	FBgn0032202	BcDNA:RH73910;CG18619;DM20;Dmel\CG18619
Q9VL16	FBgn0032200	BEST:LD31953;Dmel\CG5676;LD31953
Q9VL18	FBgn0032198	CG4912;Dmel\CG4912;eEF1d;eEf1delta
Q961L8	FBgn0053056	CG10517;Dmel\CG33056
A1ZBA9	FBgn0034366	ATG7;CG5489;Dmel\CG5489;atg-7;atg7
A1ZBA8	FBgn0034364	Dmel\CG5493
M9PEY8	FBgn0036031	Dmel\CG6761
A1ZBA5	FBgn0034361	BcDNA:RH13070;CG5497;Dmel\CG5497;MRP-S35;mrpS28
A1Z8J4	FBgn0016047	CG13207;Dmel\CG13207;NOMPA;Nomp-A;NompA;nomp
A1ZBA1	FBgn0050115	CG18430;CG30115;CG5503;Dmel\CG30115
M9PC65	FBgn0083962	CG31653;CG3805;Dm_2L:23517;Dm_2L:23546;Dmel\CG34126
A0A126GUM1	FBgn0263102	BTB-V;BtbV;CG2368;Dmel\CG2368;PSQ;Piq;Psq;eyeful;pip;psk;psq-1;rum;zep
Q9I7L7	FBgn0042133	Dmel\CG18810
M9PF42	FBgn0044323	5836;CG7392;CKA;Dcka;Dmel\CG7392;anon-WO0172774.174;anon-WO0172774.175;anon-WO0172774.177;anon-WO0172774.179;cka;l(2)05836;l(2)s1883
Q9VQI1	FBgn0031473	Dmel\CG3104
Q9VZW7	FBgn0035383	Dmel\CG2107;SD01848p
M9PF46	FBgn0036030	Dmel\CG6767
Q9VQI5	FBgn0051694	CG15401;CG3098;Dmel\CG31694
Q9VQI6	FBgn0031478	Dmel\CG8814
M9PC13	FBgn0015600	BA34;BcDNA:LD27161;CG9660;Dmel\CG9660;Toc;l(2)01361;l(2)05527;l(2)K08224;l(2)k08224
Q9VQI8	FBgn0024947	CG3059;Dmel\CG3059;NTPDase6;dmNTPase
Q9VQI9	FBgn0041111	154454_at;189Y;AFF4;BEST:GH09955;BcDNA:GM02019;CG8817;Dmel\CG8817;Lilli;S(ls)4;SS2-1;SY2-1;Su(Raf)2A;Su(Raf)2a;dAFF4;l(2)00632;l(2)23Cc;l(2)K00632;l(2)K07920;l(2)k07920;l(2)k16124
M9PC19	FBgn0259163	CG14170;CG32044;CG32046;CG6740;Dmel\CG42268;Dmel_CG32044;Dmel_CG32046
O76904	FBgn0004650	371;8D8.1;CG11411;Dmel\CG11411;EG:8D8.1;Fs(1)N;Nas;fs(1)A371;fs(1)K1540;fs(1)M6;fs(1)Nas;fs(1)Nasrat;fs(1)[nas];nas
Q0E8X6	FBgn0034858	CG10315;Dmel\CG10315;eIF2Bdelta
Q0E8X7	FBgn0250838	CG3487;Dmel\CG30415;anon-SAGE:Wang-079
M9MRW4	FBgn0082598	Akirin;CG8580;DmAkirin;Dmel\CG8580;EP(3)0906;anon-WO0118547.397;bhr
P25724	FBgn0002962	CG5637;DRONANOS;Dmel\CG5637;Dronanos;NANOS;NOS;Nos;l(3)07117;l(3)j3B6;l(3)j4B6;nNOS
Q0E8X9	FBgn0040063	BcDNA:AT20887;CG13549;Dmel\CG13549;NEST:bs18b12;bs18b12.y1
P25722	FBgn0024230	CG10234;DmHs2st;Dmel\CG10234;HS2ST;Hs2st-2;dHS2ST;dmHS-2OST;dmHs2st
P25723	FBgn0003719	CG6868;CT21278;Dmel\CG6868;TLD;Tld;Tolloid;dTld
Q9V419	FBgn0028940	28a5;BEST:GH10483;BG:DS00180.11;CG8864;Cyp28A5;DS00180.11;Dmel\CG8864;cyp28a5;gh10483
P11346	FBgn0003079	11-29;C110;CG2845;D-RAF;D-Raf;D-raf;D-raf1;DRaf;DRaf1;Dmel\CG2845;Draf;Draf-1;Draf1;EG:BACH48C10.3;Phl;RAF;Raf/phl;Raf1;dRaf;draf;l(1)2Fe;l(1)G0475;l(1)ph;l(1)phl;l(1)pole hole;l(1)polehole;l(1)polehole/draf;l(1)raf;lincRNA.937;ph;ph1;phl;raf;raf-1;raf1;rafl
Q7K105	FBgn0033402	CG2078;DMMYD88;DmMyD88;DmMyd88;Dmel\CG2078;EP(2)2535;Kra;LD20892;MYD88;MyD88;Myd88F;dMYd88;dMyD88;dMyd88;kra;myd88
Q9V411	FBgn0028473	BcDNA:LD23830;CG30341;CG8801;Dmel\CG8801;LD23830
Q9V410	FBgn0040344	Dmel\CG3711;EG:BACR7A4.19
Q7K108	FBgn0262475	Bru-2;CG17008;CG31761;CG31763;CG43065;CG6319;Dm Bru-2;Dmel\CG43065;Dmel_CG31761;Dmel_CG31763
Q9V412	FBgn0028919	BG:DS00941.3;Dmel\CG16865
Q9V415	FBgn0028475	BcDNA:LD23587;CG10221;Dmel\CG10221;HRD3
Q9V414	FBgn0019890	BG:DS08220.2;CG8954;Dmel\CG8954;SMG5;anon-34Ea;dSMG5;smg5
Q9VMF0	FBgn0031801	Dmel\CG9498
Q9V416	FBgn0028879	BG:DS04929.1;Dmel\CG15270
P14199	FBgn0003231	CG10360;Dmel\CG10360;Ref(2)P;Ref(2)p;Ref2P;SQSTM1;p62;p63;ref;ref(2)Pn;ref(2)Po2;ref(2)p;ref2p
Q9XYM0	FBgn0024811	CG1587;CRK;D-CRK;D-Crk;DCrk;Dcrk;Dmel\CG1587;crk;dCRK;dCrk
C0MJE4	FBgn0263979	154659_at;55;CAF-1;CAF1;CAF1-55;CAF1-p55;CAF1p55;CG4236;Caf-1;Caf1;Caf1/p55;Caf1p55;Dmel\CG4236;MSI1/RbAp48/CAC3/LIN-53;NURF;NURF 55;NURF-55;NURF55;Nurf;Nurf 55;Nurf-55;Nurf55;P55;RBAP48;RbAp46/48;RbAp48;S(ls)3;caf-1;caf1;caf1 p55;d-CAF1;dCAF-1;dCAF-1 p55;dCAF-1-p55;dCAF1;dCAF1-p55;dNURF;p55;p55 CAF1;p55/NURF-55;p55CAF1
Q9XYM5	FBgn0003612	CG8068;CLOT2057;DPIAS;DmPias;Dmel\CG8068;Dpias;PIAS;SU(VAR)2-10;Su(Var)2-10;Su(var)-10;Su-var(2)10;Suvar(2)10;ZIMP;ZimpA;ZimpB;dPIAS;dpias;i184;l(2)03697;pias;zimp
Q7JWV5	FBgn0033963	Dmel\CG12857
Q7JWV7	FBgn0029507	BcDNA:GH07074;CG12846;Dm.Tsp42Ed;Dmel\CG12846;GH07074
M9NG95	FBgn0024150	AC 78C;AC78C;CG10554;CG10564;DAC78C;DAC78C-s;Dmel\CG10564
Q4V5R4	FBgn0033572	CG12943;Dmel\CG12943
Q9VZJ1	FBgn0035491	CG11591;Dmel\CG11591;dpy-30L2
Q9VKB4	FBgn0032408	Dmel\CG6712;ORF2
Q9VKB3	FBgn0028707	CG10692;DNMT;DNMT2;DmMT2;Dmel\CG10692;Dnmt;Dnmt2;dDNMT;dDNMT2;dDnmt2;dnmt2;nmt2
Q9VKB2	FBgn0032409	CG5336;Ced12;Dced-12;Dmel\CG5336;ELMO;Elmo;ced-12;dCed-12;dced-12;elmo
Q8SZY7	FBgn0035945	# CG5026;Dmel\CG5026
Q9VKB0	FBgn0027081	42/3;CG5353;Dmel\CG5353;P539;TRS;ThrRS;l(2)k04203;threonyl-tRNA synthetase
Q8SZY9	FBgn0052075	CG6316;Dmel\CG32075
Q9N658	FBgn0002573	1228/04;CG10714;CG32120;Dmel\CG32120;Gfi1;Ly;Ly-1;SENS;Sen;Sens;Ss;l(3)70Ad;sen;sense
Q9VKB9	FBgn0027505	BcDNA:LD23336;CG7061;Dmel\CG7061;rab3-GAP
Q9VKB8	FBgn0032405	Dmel\CG14946
Q06849	FBgn0004908	ARL2;Arf;Arf84D;Arf84F;Arl84F;CG 7435;CG7435;Dm Arf84F;Dmel\CG7435;Q06849;arl2
M9MSN4	FBgn0052703	CG17441;CG2309;CG32703;Dmel\CG32703;ERK7
Q8WR53	FBgn0011224	CG2094;CG2290;CG31000;DmPTB;Dmel\CG31000;HEPH;Heph;PTB;Ptb;dPTB;dmPTB;ema;hnRNP I;l(3)03429;l(3)j11B9;ptb
B5RJ86	FBgn0031861	Dmel\CG17375
Q29QL9	FBgn0265272	Dmel\CG30060;anon-SAGE:Wang-129
Q9VZ04	FBgn0030289	CG1597;Dmel\CG1597
Q6QU65	FBgn0265140	CG31314;CG31385;CG7649;CT23341;DMeltrin;Dmel\CG7649;FBgn0051314;Neu3;meltrin
A1Z8J0	FBgn0033615	Dmel\CG7741
Q6XK19	FBgn0266756	BcDNA:GH06647;Btsz;CG14858;CG17304;CG18280;CG31306;CG33555;CG44012;CG7343;Dmel\CG44012;Dmel_CG17304;Dmel_CG33555;Granulophilin;l(3)10418
Q7JUP3	FBgn0034068	CASP;CG8400;Dmel\CG8400
Q7JRD4	FBgn0033812	CG4663;DmelPex13;Dmel\CG4663;PEX13;pex13
Q9VZ01	FBgn0030292	BcDNA:RH44935;Dmel\CG11752;anon-EST:Posey214
Q9VMX3	FBgn0031657	Dmel\CG3756
Q9VMX2	FBgn0010607	CG8886;Dmel\CG8886;l(2)05715
